"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","Sepal.Length.SQRT"
"124",6.3,2.7,4.9,1.8,"Iris-virginica",2.50998007960223
"125",6.7,3.3,5.7,2.1,"Iris-virginica",2.58843582110896
"126",7.2,3.2,6,1.8,"Iris-virginica",2.68328157299975
"127",6.2,2.8,4.8,1.8,"Iris-virginica",2.48997991959775
"128",6.1,3,4.9,1.8,"Iris-virginica",2.46981780704569
"129",6.4,2.8,5.6,2.1,"Iris-virginica",2.5298221281347
"130",7.2,3,5.8,1.6,"Iris-virginica",2.68328157299975
"131",7.4,2.8,6.1,1.9,"Iris-virginica",2.72029410174709
"132",7.9,3.8,6.4,2,"Iris-virginica",2.81069386451104
"133",6.4,2.8,5.6,2.2,"Iris-virginica",2.5298221281347
"134",6.3,2.8,5.1,1.5,"Iris-virginica",2.50998007960223
"135",6.1,2.6,5.6,1.4,"Iris-virginica",2.46981780704569
"136",7.7,3,6.1,2.3,"Iris-virginica",2.77488738510232
"137",6.3,3.4,5.6,2.4,"Iris-virginica",2.50998007960223
"138",6.4,3.1,5.5,1.8,"Iris-virginica",2.5298221281347
"139",6,3,4.8,1.8,"Iris-virginica",2.44948974278318
"140",6.9,3.1,5.4,2.1,"Iris-virginica",2.62678510731274
"141",6.7,3.1,5.6,2.4,"Iris-virginica",2.58843582110896
"142",6.9,3.1,5.1,2.3,"Iris-virginica",2.62678510731274
"143",5.8,2.7,5.1,1.9,"Iris-virginica",2.40831891575846
"144",6.8,3.2,5.9,2.3,"Iris-virginica",2.60768096208106
"145",6.7,3.3,5.7,2.5,"Iris-virginica",2.58843582110896
"146",6.7,3,5.2,2.3,"Iris-virginica",2.58843582110896
"147",6.3,2.5,5,1.9,"Iris-virginica",2.50998007960223
"148",6.5,3,5.2,2,"Iris-virginica",2.54950975679639
"149",6.2,3.4,5.4,2.3,"Iris-virginica",2.48997991959775
"150",5.9,3,5.1,1.8,"Iris-virginica",2.42899156029822
